"Notes"	"Region"	"Region Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m^2)
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1987"	"1987/10"	11438.15
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1987"	"1987/11"	7320.04
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1987"	"1987/12"	5965.60
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1988"	"1988/01"	7420.00
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1988"	"1988/02"	10137.64
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1988"	"1988/03"	14244.38
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1988"	"1988/04"	19495.51
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1988"	"1988/05"	23141.12
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1988"	"1988/06"	25656.08
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1988"	"1988/07"	24143.29
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1988"	"1988/08"	20507.18
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1988"	"1988/09"	16367.10
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1988"	"1988/10"	11693.72
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1988"	"1988/11"	7294.92
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1988"	"1988/12"	6405.05
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1989"	"1989/01"	7670.78
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1989"	"1989/02"	9470.92
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1989"	"1989/03"	14956.53
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1989"	"1989/04"	17926.66
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1989"	"1989/05"	21160.75
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1989"	"1989/06"	22657.38
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1989"	"1989/07"	22940.20
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1989"	"1989/08"	20125.37
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1989"	"1989/09"	16305.62
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1989"	"1989/10"	11886.90
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1989"	"1989/11"	7323.16
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1989"	"1989/12"	6112.67
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1990"	"1990/01"	7649.00
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1990"	"1990/02"	9709.45
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1990"	"1990/03"	13737.32
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1990"	"1990/04"	17639.50
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1990"	"1990/05"	20708.26
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1990"	"1990/06"	23357.12
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1990"	"1990/07"	22798.84
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1990"	"1990/08"	20552.12
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1990"	"1990/09"	16440.23
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1990"	"1990/10"	12118.00
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1990"	"1990/11"	7640.19
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1990"	"1990/12"	6215.78
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1991"	"1991/01"	7070.51
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1991"	"1991/02"	9879.09
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1991"	"1991/03"	14403.50
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1991"	"1991/04"	17613.77
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1991"	"1991/05"	20328.04
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1991"	"1991/06"	23900.91
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1991"	"1991/07"	23668.48
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1991"	"1991/08"	20479.59
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1991"	"1991/09"	15785.31
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1991"	"1991/10"	11568.19
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1991"	"1991/11"	7051.14
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1991"	"1991/12"	6346.04
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1992"	"1992/01"	7213.84
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1992"	"1992/02"	9540.87
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1992"	"1992/03"	13972.95
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1992"	"1992/04"	16562.33
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1992"	"1992/05"	21952.43
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1992"	"1992/06"	22703.99
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1992"	"1992/07"	21853.29
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1992"	"1992/08"	19985.37
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1992"	"1992/09"	16736.31
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1992"	"1992/10"	11838.52
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1992"	"1992/11"	6246.39
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1992"	"1992/12"	6130.68
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1993"	"1993/01"	7173.65
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1993"	"1993/02"	9770.08
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1993"	"1993/03"	13839.27
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1993"	"1993/04"	17145.02
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1993"	"1993/05"	20193.82
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1993"	"1993/06"	21974.82
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1993"	"1993/07"	22119.88
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1993"	"1993/08"	20013.20
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1993"	"1993/09"	15237.07
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1993"	"1993/10"	11447.16
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1993"	"1993/11"	7166.29
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1993"	"1993/12"	5859.25
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1994"	"1994/01"	6894.46
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1994"	"1994/02"	10185.27
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1994"	"1994/03"	14633.11
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1994"	"1994/04"	18078.33
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1994"	"1994/05"	22886.00
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1994"	"1994/06"	23313.35
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1994"	"1994/07"	23208.65
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1994"	"1994/08"	20313.74
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1994"	"1994/09"	16318.75
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1994"	"1994/10"	11488.93
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1994"	"1994/11"	7433.23
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1994"	"1994/12"	6440.84
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1995"	"1995/01"	7233.98
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1995"	"1995/02"	9253.28
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1995"	"1995/03"	13988.72
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1995"	"1995/04"	16084.58
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1995"	"1995/05"	18620.98
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1995"	"1995/06"	22825.99
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1995"	"1995/07"	23549.81
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1995"	"1995/08"	20597.91
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1995"	"1995/09"	15883.10
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1995"	"1995/10"	11208.87
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1995"	"1995/11"	7313.29
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1995"	"1995/12"	6237.92
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1996"	"1996/01"	7311.64
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1996"	"1996/02"	10110.68
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1996"	"1996/03"	14416.62
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1996"	"1996/04"	18230.68
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1996"	"1996/05"	19477.72
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1996"	"1996/06"	22891.14
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1996"	"1996/07"	23200.76
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1996"	"1996/08"	20922.13
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1996"	"1996/09"	15254.87
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1996"	"1996/10"	11927.58
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1996"	"1996/11"	6745.52
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1996"	"1996/12"	6148.96
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1997"	"1997/01"	7211.64
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1997"	"1997/02"	9694.05
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1997"	"1997/03"	14924.65
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1997"	"1997/04"	17368.80
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1997"	"1997/05"	20432.40
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1997"	"1997/06"	23611.98
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1997"	"1997/07"	23436.04
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1997"	"1997/08"	19608.25
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1997"	"1997/09"	16195.91
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1997"	"1997/10"	11466.72
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1997"	"1997/11"	6842.22
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1997"	"1997/12"	5998.49
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1998"	"1998/01"	6874.47
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1998"	"1998/02"	8615.58
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1998"	"1998/03"	12778.33
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1998"	"1998/04"	18342.36
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1998"	"1998/05"	22447.67
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1998"	"1998/06"	21860.40
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1998"	"1998/07"	23579.06
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1998"	"1998/08"	20483.39
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1998"	"1998/09"	17290.67
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1998"	"1998/10"	11381.65
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1998"	"1998/11"	7321.07
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1998"	"1998/12"	6421.18
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 1999"	"1999/01"	7123.80
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 1999"	"1999/02"	9802.99
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 1999"	"1999/03"	15528.55
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 1999"	"1999/04"	17112.84
	"Census Region 2: Midwest"	"CENS-R2"	"May, 1999"	"1999/05"	21185.03
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 1999"	"1999/06"	22839.60
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 1999"	"1999/07"	24543.37
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 1999"	"1999/08"	20883.53
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 1999"	"1999/09"	16491.97
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 1999"	"1999/10"	12330.07
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 1999"	"1999/11"	8304.42
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 1999"	"1999/12"	6412.87
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2000"	"2000/01"	7274.58
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2000"	"2000/02"	9761.51
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2000"	"2000/03"	14333.32
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2000"	"2000/04"	18395.86
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2000"	"2000/05"	21061.67
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2000"	"2000/06"	22912.98
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2000"	"2000/07"	23492.93
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2000"	"2000/08"	21245.25
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2000"	"2000/09"	16745.22
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2000"	"2000/10"	11614.24
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2000"	"2000/11"	7137.78
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2000"	"2000/12"	6128.60
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2001"	"2001/01"	7516.26
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2001"	"2001/02"	9639.09
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2001"	"2001/03"	14712.57
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2001"	"2001/04"	18249.06
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2001"	"2001/05"	20445.07
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2001"	"2001/06"	23249.43
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2001"	"2001/07"	23579.74
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2001"	"2001/08"	21124.33
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2001"	"2001/09"	15988.51
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2001"	"2001/10"	11374.58
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2001"	"2001/11"	7681.12
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2001"	"2001/12"	6394.18
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2002"	"2002/01"	7100.50
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2002"	"2002/02"	9780.29
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2002"	"2002/03"	14257.36
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2002"	"2002/04"	17270.36
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2002"	"2002/05"	20923.13
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2002"	"2002/06"	23894.90
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2002"	"2002/07"	24209.21
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2002"	"2002/08"	20768.71
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2002"	"2002/09"	16675.43
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2002"	"2002/10"	9979.02
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2002"	"2002/11"	7238.13
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2002"	"2002/12"	6382.33
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2003"	"2003/01"	7033.89
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2003"	"2003/02"	9557.63
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2003"	"2003/03"	14336.86
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2003"	"2003/04"	18623.66
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2003"	"2003/05"	21072.38
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2003"	"2003/06"	23126.58
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2003"	"2003/07"	24916.25
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2003"	"2003/08"	21056.60
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2003"	"2003/09"	16515.49
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2003"	"2003/10"	12054.00
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2003"	"2003/11"	7353.30
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2003"	"2003/12"	6157.08
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2004"	"2004/01"	6862.31
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2004"	"2004/02"	10095.89
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2004"	"2004/03"	14055.19
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2004"	"2004/04"	18641.04
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2004"	"2004/05"	21086.46
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2004"	"2004/06"	23191.99
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2004"	"2004/07"	23079.28
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2004"	"2004/08"	20128.11
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2004"	"2004/09"	17023.03
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2004"	"2004/10"	11478.97
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2004"	"2004/11"	6972.23
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2004"	"2004/12"	6204.59
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2005"	"2005/01"	6893.13
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2005"	"2005/02"	9363.92
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2005"	"2005/03"	14114.70
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2005"	"2005/04"	18469.58
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2005"	"2005/05"	20939.25
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2005"	"2005/06"	23989.35
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2005"	"2005/07"	24866.80
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2005"	"2005/08"	20724.10
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2005"	"2005/09"	17336.82
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2005"	"2005/10"	11785.71
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2005"	"2005/11"	7384.13
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2005"	"2005/12"	5880.19
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2006"	"2006/01"	7183.35
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2006"	"2006/02"	9795.88
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2006"	"2006/03"	14488.98
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2006"	"2006/04"	19212.71
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2006"	"2006/05"	21382.08
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2006"	"2006/06"	24493.44
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2006"	"2006/07"	25035.30
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2006"	"2006/08"	20626.81
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2006"	"2006/09"	15691.18
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2006"	"2006/10"	11232.41
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2006"	"2006/11"	7501.04
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2006"	"2006/12"	6123.37
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2007"	"2007/01"	7013.89
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2007"	"2007/02"	9292.07
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2007"	"2007/03"	14702.26
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2007"	"2007/04"	18479.80
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2007"	"2007/05"	22355.85
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2007"	"2007/06"	24490.96
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2007"	"2007/07"	25048.53
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2007"	"2007/08"	21165.84
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2007"	"2007/09"	17059.80
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2007"	"2007/10"	11548.44
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2007"	"2007/11"	7557.49
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2007"	"2007/12"	6072.04
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2008"	"2008/01"	7314.44
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2008"	"2008/02"	9653.65
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2008"	"2008/03"	14130.83
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2008"	"2008/04"	18382.60
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2008"	"2008/05"	21404.87
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2008"	"2008/06"	24122.37
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2008"	"2008/07"	24672.64
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2008"	"2008/08"	21632.41
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2008"	"2008/09"	16178.97
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2008"	"2008/10"	11573.94
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2008"	"2008/11"	7098.63
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2008"	"2008/12"	5919.92
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2009"	"2009/01"	7166.11
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2009"	"2009/02"	9803.54
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2009"	"2009/03"	14646.41
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2009"	"2009/04"	17987.95
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2009"	"2009/05"	21141.23
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2009"	"2009/06"	22663.05
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2009"	"2009/07"	23325.14
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2009"	"2009/08"	20656.03
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2009"	"2009/09"	16316.27
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2009"	"2009/10"	9092.28
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2009"	"2009/11"	7609.62
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2009"	"2009/12"	5681.51
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2010"	"2010/01"	7380.49
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2010"	"2010/02"	9204.68
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2010"	"2010/03"	14824.30
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2010"	"2010/04"	19379.66
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2010"	"2010/05"	20953.81
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2010"	"2010/06"	23401.48
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2010"	"2010/07"	24245.15
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2010"	"2010/08"	21458.31
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2010"	"2010/09"	16506.81
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2010"	"2010/10"	12844.36
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2010"	"2010/11"	7708.69
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2010"	"2010/12"	6178.74
	"Census Region 2: Midwest"	"CENS-R2"	"Jan, 2011"	"2011/01"	6818.68
	"Census Region 2: Midwest"	"CENS-R2"	"Feb, 2011"	"2011/02"	9989.04
	"Census Region 2: Midwest"	"CENS-R2"	"Mar, 2011"	"2011/03"	14065.17
	"Census Region 2: Midwest"	"CENS-R2"	"Apr, 2011"	"2011/04"	17333.86
	"Census Region 2: Midwest"	"CENS-R2"	"May, 2011"	"2011/05"	20674.87
	"Census Region 2: Midwest"	"CENS-R2"	"Jun, 2011"	"2011/06"	24047.91
	"Census Region 2: Midwest"	"CENS-R2"	"Jul, 2011"	"2011/07"	24872.22
	"Census Region 2: Midwest"	"CENS-R2"	"Aug, 2011"	"2011/08"	21819.89
	"Census Region 2: Midwest"	"CENS-R2"	"Sep, 2011"	"2011/09"	16567.79
	"Census Region 2: Midwest"	"CENS-R2"	"Oct, 2011"	"2011/10"	12307.92
	"Census Region 2: Midwest"	"CENS-R2"	"Nov, 2011"	"2011/11"	7786.25
	"Census Region 2: Midwest"	"CENS-R2"	"Dec, 2011"	"2011/12"	6113.86
"Total"	"Census Region 2: Midwest"	"CENS-R2"			14970.41
	"Census Region 3: South"	"CENS-R3"	"Jan, 1979"	"1979/01"	9035.70
	"Census Region 3: South"	"CENS-R3"	"Feb, 1979"	"1979/02"	11996.79
	"Census Region 3: South"	"CENS-R3"	"Mar, 1979"	"1979/03"	16677.72
	"Census Region 3: South"	"CENS-R3"	"Apr, 1979"	"1979/04"	19453.71
	"Census Region 3: South"	"CENS-R3"	"May, 1979"	"1979/05"	22708.78
	"Census Region 3: South"	"CENS-R3"	"Jun, 1979"	"1979/06"	24638.53
	"Census Region 3: South"	"CENS-R3"	"Jul, 1979"	"1979/07"	22910.07
	"Census Region 3: South"	"CENS-R3"	"Aug, 1979"	"1979/08"	22025.35
	"Census Region 3: South"	"CENS-R3"	"Sep, 1979"	"1979/09"	18179.67
	"Census Region 3: South"	"CENS-R3"	"Oct, 1979"	"1979/10"	16389.25
	"Census Region 3: South"	"CENS-R3"	"Nov, 1979"	"1979/11"	11172.96
	"Census Region 3: South"	"CENS-R3"	"Dec, 1979"	"1979/12"	9495.28
	"Census Region 3: South"	"CENS-R3"	"Jan, 1980"	"1980/01"	9149.43
